Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
1,24,Murphy,SMITH,SR,663.0,Navy,NAVY,28:23.81,,28:23.81,,Final,track,10,m,Men,10000 M,1703.81,True,17.0,0.0
1,23,Victor,KIPROP,SR,32.0,Alabama,BAMA,28:25.85,,27:57.63,,Final,track,10,m,Men,10000 M,1705.85,True,18.0,0.0
1,9,Dylan,THROOP,SR,814.0,Penn,PENN,28:27.40,,28:27.40,,Final,track,10,m,Men,10000 M,1707.4,True,19.0,0.0
1,18,Bernard,CHERUIYOT,FR,1017.0,Tulane,TUL,28:31.83,,28:31.83,,Final,track,10,m,Men,10000 M,1711.83,True,20.0,0.0
1,21,Habtom,SAMUEL,SO,699.0,New Mexico,UNM,28:34.95,,28:07.82,,Final,track,10,m,Men,10000 M,1714.95,True,21.0,0.0
1,1,Ben,ROSA,SR,383.0,Harvard,HARV,28:35.58,,28:35.58,,Final,track,10,m,Men,10000 M,1715.58,True,22.0,0.0
1,10,Ishmael,KIPKURUI,FR,697.0,New Mexico,UNM,28:40.28,,28:09.32,,Final,track,10,m,Men,10000 M,1720.28,True,23.0,0.0
1,4,William,ZEGARSKI,SO,172.0,Butler,BUTL,28:46.14,,28:46.14,,Final,track,10,m,Men,10000 M,1726.14,True,24.0,0.0
3,5,Kendrick,SMALLWOOD,JR,1015.0,Texas,TEX,13.07,,13.07,,Prelims,track,4,m,Men,110 M Hurdles,13.07,True,1.0,10.0
2,6,Jamar,MARSHALL JR.,SR,391.0,Houston,UH,13.13,,13.13,,Prelims,track,4,m,Men,110 M Hurdles,13.13,True,2.0,8.0
2,5,Ja'Kobe,THARP,SO,129.0,Auburn,AUB,13.14,,13.14,,Prelims,track,4,m,Men,110 M Hurdles,13.14,True,3.0,6.0
1,5,Ja'Qualon,SCOTT,SR,1046.0,Texas A&M,TAMU,13.16,,13.16,,Prelims,track,4,m,Men,110 M Hurdles,13.16,True,4.0,5.0
3,3,Zachary,EXTINE,JR,52.0,Arizona,ARIZ,13.17,,13.17,,Prelims,track,4,m,Men,110 M Hurdles,13.17,True,5.0,4.0
1,8,Demario,PRINCE,FR,160.0,Baylor,BAY,13.18,,13.18,,Prelims,track,4,m,Men,110 M Hurdles,13.18,True,6.0,3.0
