;;StartList
3,9,Cameron,TARVER,JR,882,San Jose St.,SJSU,20.52,,20.52,,Prelims,track,9,m
;;StartList
3,1,Men 400 M,Prelims,Wednesday,5:41 PM,,,,,,,Prelims,track,6,m
R,Meet:,Michael Norman - USC,43.61,6/8/2018,,,,,,,,Prelims, track,6,m
R,Collegiate:,Michael Norman - USC,43.61,6/8/2018,,,,,,,,Prelims, track,6,m
N,9 Advance: Top 2 Each Heat plus Next 3 Best Times,,,,,,,,,,,Prelims, track,6,m
1,2,Malik,RICKETTS,SR,832,Pittsburgh,PITT,45.45,,45.45,,Prelims,track,6,m
1,3,Jordan,PIERRE,SO,104,Arkansas-Pine Bluff,UAPB,45.54,,45.54,,Prelims,track,6,m
1,4,Micahi,DANZY,FR,293,Florida State,FSU,44.38,,44.38,,Prelims,track,6,m
1,5,Auhmad,ROBINSON,SR,1045,Texas A&M,TAMU,44.61,,44.61,,Prelims,track,6,m
1,6,Samuel,OGAZI,SO,36,Alabama,BAMA,44.43,,44.43,,Prelims,track,6,m
1,7,DeSean,BOYCE,JR,1067,Texas Tech,TTU,45.27,,44.85,,Prelims,track,6,m
1,8,Kelsey,SINGLETON,JR,887,Southern Miss.,USM,45.66,,45.66,,Prelims,track,6,m
1,9,Hossam,HATIB,SR,1036,Texas A&M,TAMU,45.75,,45.12,,Prelims,track,6,m
2,2,Cutler,ZAMZOW,SR,1049,Texas A&M,TAMU,45.30,,45.30,,Prelims,track,6,m
2,3,Edidiong,UDO,FR,745,Ohio State,OHST,45.19,,45.19,,Prelims,track,6,m
2,4,Gabriel,CLEMENT II,SO,1104,UCLA,UCLA,45.75,,45.75,,Prelims,track,6,m
2,5,Gabriel,MORONTA,SR,917,South Florida,USF,45.01,,45.01,,Prelims,track,6,m
2,6,William,JONES,JR,1129,USC,USC,44.76,,44.65,,Prelims,track,6,m
2,7,Shemar,CHAMBERS,SR,354,Georgia,UGA,45.29,,45.29,,Prelims,track,6,m
2,8,Anthony,EAST III,SR,388,Houston,UH,45.23,,45.23,,Prelims,track,6,m
2,9,Will,FLOYD,SO,356,Georgia,UGA,44.93,,44.93,,Prelims,track,6,m
3,2,Johnny,GOODE,SR,203,California,CAL,45.02,,45.02,,Prelims,track,6,m
3,3,Ervin,PEARSON,FR,362,Georgia,UGA,45.32,,45.32,,Prelims,track,6,m
3,4,Jalen,WILLIAMS,JR,1231,Wisconsin,WISC,45.49,,45.49,,Prelims,track,6,m
3,5,Nathan,KENT,JR,661,Navy,NAVY,45.23,,45.23,,Prelims,track,6,m
3,6,Jayden,DAVIS,SO,132,Arizona State,AZST,44.84,,44.84,,Prelims,track,6,m
3,7,Joseph,TAYLOR,FR,270,Duke,DUKE,44.98,,44.98,,Prelims,track,6,m
3,8,Shaemar,UTER,JR,1078,Texas Tech,TTU,45.52,,45.52,,Prelims,track,6,m
3,9,Jenoah,MCKIVER,SR,317,Florida,UF,45.29,,44.74,,Prelims,track,6,m
;;StartList
4,1,Men 800 M,Prelims,Wednesday,5:58 PM,,,,,,,Prelims,track,7,m
R,Meet:,Donovan Brazier - Texas A&M,1:43.55,6/10/2016,,,,,,,,Prelims, track,7,m
R,Collegiate:,Michael Saruni - UTEP,1:43.25,4/28/2018,,,,,,,,Prelims, track,7,m
N,9 Advance: Top 2 Each Heat plus Next 3 Best Times,,,,,,,,,,,Prelims, track,7,m
1,2,Samuel,NAVARRO,SR,623,Miss State,MSST,1:46.47,,1:46.47,,Prelims,track,7,m
1,3,Matthew,ERICKSON,SR,806,Oregon,UO,1:46.99,,1:46.84,,Prelims,track,7,m
1,4,Tinoda,MATSATSA,SO,332,Georgetown,GTWN,1:45.04,,1:45.04,,Prelims,track,7,m
1,5,Tyrice,TAYLOR,JR,91,Arkansas,ARK,1:45.81,,1:45.81,,Prelims,track,7,m
1,6,Samuel,RODMAN,SR,848,Princeton,PRIN,1:46.85,,1:46.85,,Prelims,track,7,m
1,7,Koitatoi,KIDALI,FR,807,Oregon,UO,1:47.12,,1:47.12,,Prelims,track,7,m
1,8,Allon,CLAY,JR,818,Penn State,PSU,1:47.29,,1:47.29,,Prelims,track,7,m
1,9,Yared,KIDANE,JR,1218,Wichita State,WICH,1:46.73,,1:46.73,,Prelims,track,7,m
2,2,Patrick,TUOHY,SR,672,NC State,NCSU,1:46.60,,1:46.60,,Prelims,track,7,m
2,3,Lloyd,FRILOT,SR,965,TCU,TCU,1:45.79,,1:45.79,,Prelims,track,7,m
2,4,Aidan,MCCARTHY,JR,196,Cal Poly,POLY,1:45.53,,1:45.53,,Prelims,track,7,m
2,5,Rynard,SWANEPOEL,SR,1190,Wake Forest,WAKE,1:45.42,,1:45.28,,Prelims,track,7,m
2,6,Sam,WHITMARSH,SR,1048,Texas A&M,TAMU,1:45.35,,1:44.46,,Prelims,track,7,m
2,7,Abdullahi,HASSAN,SR,621,Miss State,MSST,1:45.39,,1:45.39,,Prelims,track,7,m
2,8,Nicholas,PLANT,JR,1167,Virginia Tech,VT,1:45.90,,1:45.90,,Prelims,track,7,m
2,9,Andrew,CASEY,SO,1225,Wisconsin,WISC,1:47.30,,1:47.30,,Prelims,track,7,m
3,2,Dugion,BLACKMAN,SR,418,Iowa State,IAST,1:46.60,,1:46.60,,Prelims,track,7,m
3,3,Handal,ROBAN,JR,824,Penn State,PSU,1:45.16,,1:45.16,,Prelims,track,7,m
3,4,Kyle,REINHEIMER,SR,1210,Washington,WASH,1:46.09,,1:46.09,,Prelims,track,7,m
3,5,Christian,JACKSON,JR,1166,Virginia Tech,VT,1:44.83,,1:44.83,,Prelims,track,7,m
3,6,Rivaldo,MARSHALL,SR,85,Arkansas,ARK,1:45.59,,1:45.59,,Prelims,track,7,m
3,7,Brian,KWEYEI,SO,231,Clemson,CLEM,1:45.09,,1:45.09,,Prelims,track,7,m
3,8,Patrick,HILBY,FR,1226,Wisconsin,WISC,1:47.30,,1:47.30,,Prelims,track,7,m
3,9,Kirk,DAWKINS,JR,279,Florida A&M,FAMU,1:46.62,,1:46.62,,Prelims,track,7,m
;;StartList
5,1,Men 1500 M,Prelims,Wednesday,4:21 PM,,,,,,,Prelims,track,2,m
R,Meet:,Sydney Maree - Villanova,3:35.30,6/6/1981,,,,,,,,Prelims, track,2,m
R,Collegiate:,Liam Murphy - Villanova,3:33.02,3/27/2025,,,,,,,,Prelims, track,2,m
N,12 Advance:  Top 5 Each Heat plusNext 2 Best Times,,,,,,,,,,,Prelims, track,2,m
1,1,Nathan,GREEN,JR,1209,Washington,WASH,3:35.52,,3:34.79,,Prelims,track,2,m
1,2,Michael,DANZI,SR,726,Notre Dame,ND,3:40.05,,3:40.05,,Prelims,track,2,m
1,3,Jack,CRULL,SR,167,Bradley,BRAD,3:40.51,,3:40.51,,Prelims,track,2,m
1,4,Garrett,MACQUIDDY,SR,204,California,CAL,3:38.50,,3:38.50,,Prelims,track,2,m
1,5,Colin,SAHLMAN,JR,708,Northern Arizona,NAU,3:39.41,,3:33.96,,Prelims,track,2,m
1,6,Gary,MARTIN,JR,1184,Virginia,UVA,3:33.71,,3:33.71,,Prelims,track,2,m
1,7,Brendan,HERGER,FR,601,Michigan,MICH,3:38.72,,3:38.72,,Prelims,track,2,m
1,8,Liam,MURPHY,SR,1175,Villanova,NOVA,3:33.02,,3:33.02,,Prelims,track,2,m
1,9,Alex,STITT,SR,756,Oklahoma State,OKST,3:36.33,,3:36.33,,Prelims,track,2,m
1,10,Trent,MCFARLAND,SO,603,Michigan,MICH,3:38.45,,3:38.45,,Prelims,track,2,m
1,11,Davis,HELMERICH,SR,82,Arkansas,ARK,3:40.70,,3:40.70,,Prelims,track,2,m
1,12,Abel,TEFFRA,SR,333,Georgetown,GTWN,3:33.84,,3:33.84,,Prelims,track,2,m
2,1,Adam,SPENCER,SR,1228,Wisconsin,WISC,3:34.57,,3:34.57,,Prelims,track,2,m
2,2,Damian,HACKETT,SR,243,Cornell,CORN,3:36.78,,3:36.78,,Prelims,track,2,m
2,3,Ethan,STRAND,JR,717,North Carolina,UNC,3:33.22,,3:33.22,,Prelims,track,2,m
2,4,Ferenc,KOVACS,SO,382,Harvard,HARV,3:40.08,,3:40.08,,Prelims,track,2,m
2,5,Reuben,REINA,SO,88,Arkansas,ARK,3:36.48,,3:36.48,,Prelims,track,2,m
2,6,Duncan,ROBINSON,SO,444,Iona,IONA,3:40.04,,3:40.04,,Prelims,track,2,m
2,7,Martin,SEGUROLA,JR,443,Indiana,IU,3:39.54,,3:39.54,,Prelims,track,2,m
2,8,Simeon,BIRNBAUM,SO,804,Oregon,UO,3:37.02,,3:37.02,,Prelims,track,2,m
2,9,Cooper,CAWTHRA,SR,1033,Texas A&M,TAMU,3:36.79,,3:36.79,,Prelims,track,2,m
2,10,Leo,YOUNG,SO,934,Stanford,STAN,3:38.00,,3:38.00,,Prelims,track,2,m
2,11,Harvey,CRAMB,SO,640,Montana State,MTST,3:37.31,,3:37.31,,Prelims,track,2,m
2,12,Harrison,WITT,SR,849,Princeton,PRIN,3:37.22,,3:37.22,,Prelims,track,2,m
;;StartList
6,1,Men 3000 M Steeple,Prelims,Wednesday,4:38 PM,,,,,,,Prelims,track,3,m
R,Meet:,Henry Rono - Washington State,8:12.39,6/1/1978,,,,,,,,Prelims, track,3,m
R,Collegiate:,Henry Rono - Washington State,8:05.40,5/13/1978,,,,,,,,Prelims, track,3,m
N,12 Advance:  Top 5 Each Heat plusNext 2 Best Times,,,,,,,,,,,Prelims, track,3,m
1,1,Brett,GARDNER,JR,671,NC State,NCSU,8:29.65,,8:29.65,,Prelims,track,3,m
1,2,Ryker,HOLTZEN,JR,1232,Wyoming,WYO,8:34.95,,8:34.95,,Prelims,track,3,m
1,3,Andrew,NOLAN,SR,590,Michigan State,MIST,8:37.83,,8:37.83,,Prelims,track,3,m
1,4,Victor,KIBIEGO,JR,1041,Texas A&M,TAMU,8:32.83,,8:25.48,,Prelims,track,3,m
1,5,Geoffrey,KIRWA,FR,546,Louisville,LOU,8:13.89,,8:13.89,,Prelims,track,3,m
1,6,Declan,RYMER,SR,1169,Virginia Tech,VT,8:40.22,,8:40.22,,Prelims,track,3,m
1,7,Kristian,IMROTH,JR,276,Eastern Kentucky,EKU,8:30.66,,8:30.66,,Prelims,track,3,m
1,8,Mathew,KOSGEI,FR,698,New Mexico,UNM,8:22.13,,8:22.13,,Prelims,track,3,m
1,9,Peter,VISSER,JR,1212,Weber State,WEBE,8:35.98,,8:35.98,,Prelims,track,3,m
1,10,Quinton,ORR,JR,422,Iowa State,IAST,8:39.13,,8:39.13,,Prelims,track,3,m
1,11,Nathan,DAVIS,JR,100,Army West Point,ARMY,8:38.72,,8:38.72,,Prelims,track,3,m
1,12,Rob,MCMANUS,JR,641,Montana State,MTST,8:26.83,,8:26.83,,Prelims,track,3,m
2,1,Silas,KIPTANUI,SO,1018,Tulane,TUL,8:27.28,,8:27.28,,Prelims,track,3,m
2,2,Collins,KIPROP KIPNGOK,FR,514,Kentucky,UK,8:22.67,,8:22.67,,Prelims,track,3,m
2,3,Cody,LARSON,JR,883,South Dakota State,SDST,8:30.96,,8:30.96,,Prelims,track,3,m
2,4,Benjamin,BALAZS,SO,803,Oregon,UO,8:31.13,,8:31.13,,Prelims,track,3,m
2,5,Carson,WILLIAMS,SR,327,Furman,FURM,8:30.83,,8:30.83,,Prelims,track,3,m
2,6,James,CORRIGAN,JR,184,BYU,BYU,8:22.20,,8:22.20,,Prelims,track,3,m
2,7,Joash,RUTO,FR,423,Iowa State,IAST,8:25.42,,8:25.42,,Prelims,track,3,m
