"Event_no","Event_sex","Event_name","Stroke_name","ActualSeed_time","Comp_no","Last_name","First_name","Team_name","Team_abbr","Ranking","score"
37,"W","SP","SP",8.10,612,"Godfred             ","Charles             ","Minnesota","MINN ",1,10.00
37,"W","SP","SP",8.01,1054,"Preddie             ","Chris               ","Texas State","TXST",2,8.00
37,"W","SP","SP",7.93,752,"Anderson            ","Blair               ","Oklahoma State","OKST",3,6.00
37,"W","SP","SP",7.87,942,"Sathyanathan        ","Lokesh              ","Tarleton State","TARL ",4,5.00
37,"W","SP","SP",7.84,1135,"Stevenson           ","Chrstyn John (Jc)   ","USC","USC  ",5,4.00
37,"W","SP","SP",7.84,1221,"Parrish             ","Josh                ","Wichita State","WICH ",6,3.00
37,"W","SP","SP",7.83,1081,"Gordon              ","Louis               ","Albany","ALBY",7,2.00
37,"W","SP","SP",7.82,89,"Ryan                ","Uroy                ","Arkansas","ARK  ",8,1.00
38,"W","DT","DT",16.94,765,"Green Jr            ","Brandon             ","Oklahoma","OU   ",1,10.00
38,"W","DT","DT",16.49,526,"Prabhu              ","Selva               ","Kansas State","KSST",2,8.00
38,"W","DT","DT",16.42,932,"Drumgoole           ","Xavier              ","Stanford","STAN ",3,6.00
38,"W","DT","DT",16.38,902,"Mudzengerere        ","Theophilus          ","South Carolina","SCAR ",4,5.00
38,"W","DT","DT",16.34,1010,"Daniel              ","Kelsey              ","Texas","TEX  ",5,4.00
38,"W","DT","DT",16.27,771,"Whitaker            ","Floyd               ","Oklahoma","OU   ",6,3.00
38,"W","DT","DT",16.13,1128,"Holmes              ","Jaren               ","USC","USC  ",7,2.00
38,"W","DT","DT",16.10,273,"Johnson             ","Abraham             ","Eastern Illinois","EIU",8,1.00
39,"W","HT","HT",20.85,782,"Robinson-O'Hagan    ","Tarik               ","Ole Miss","MISS ",1,10.00
39,"W","HT","HT",20.25,901,"Licata              ","Christopher         ","South Carolina","SCAR ",2,8.00
39,"W","HT","HT",20.06,54,"Landa               ","Zach                ","Arizona","ARIZ ",3,6.00
39,"W","HT","HT",19.87,1230,"White               ","Joseph              ","Wisconsin","WISC ",4,5.00
39,"W","HT","HT",19.80,1229,"Swarens             ","Jason               ","Wisconsin","WISC ",5,4.00
39,"W","HT","HT",19.71,213,"Moudani Likibi      ","Fred                ","Cincinnati","CINC ",6,3.00
39,"W","HT","HT",19.52,237,"Okeke               ","Obiora              ","Columbia","COLU ",7,2.00
39,"W","HT","HT",19.47,1233,"Reynolds            ","Daniel              ","Wyoming","WYO  ",8,1.00
40,"W","JT","JT",72.12,202,"Alekna              ","Mykolas             ","California","CAL  ",1,10.00
40,"W","JT","JT",67.21,766,"Mullings            ","Ralford             ","Oklahoma","OU   ",2,8.00
40,"W","JT","JT",62.00,485,"Pavlidis            ","Dimitrios           ","Kansas","KU   ",3,6.00
40,"W","JT","JT",60.95,120,"Allen               ","Seth                ","Auburn","AUB  ",4,5.00
40,"W","JT","JT",60.88,1106,"Pinckney            ","Michael             ","UCLA","UCLA ",5,4.00
40,"W","JT","JT",60.67,1168,"Puchko              ","Uladzislau          ","Virginia Tech","VT",6,3.00
40,"W","JT","JT",59.89,921,"Ugwoke              ","Vincent             ","South Florida","USF  ",7,2.00
40,"W","JT","JT",59.62,1076,"Rodriguez           ","Oscar               ","Texas Tech","TTU",8,1.00
