Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Team_name,Seed,Col_10,multi_event_points,Col_12,Col_13,Col_14,Col_15,Col_16,Event_sex,Event_name,Seed_numeric,is_lower_better,Rank,score
1,5,Madison,WHYTE,SO,1121,USC,USC,22.16,,22.16,,Final,track,57,f,Women,200 M,22.16,True,2.0,8.0
1,7,Jasmine,MONTGOMERY,JR,1028,Texas A&M,TAMU,22.17,,22.17,,Final,track,57,f,Women,200 M,22.17,True,3.0,6.0
1,8,Dajaz,DEFRAND,JR,1114,USC,USC,22.20,,22.20,,Final,track,57,f,Women,200 M,22.2,True,4.0,5.0
1,4,Kenondra,DAVIS,JR,998,Texas,TEX,22.45,,22.45,,Final,track,57,f,Women,200 M,22.45,True,5.0,4.0
1,3,Leah,BERTRAND,SR,730,Ohio State,OHST,22.54,,22.54,,Final,track,57,f,Women,200 M,22.54,True,6.0,2.5
1,9,Jayla,JAMISON,SR,896,South Carolina,SCAR,22.54,,22.26,,Final,track,57,f,Women,200 M,22.54,True,6.0,2.5
1,2,Samirah,MOODY,SR,1118,USC,USC,22.55,,22.50,,Final,track,57,f,Women,200 M,22.55,True,8.0,1.0
1,1,Gabrielle,MATTHEWS,JR,305,Florida,UF,22.59,,22.59,,Final,track,57,f,Women,200 M,22.59,True,9.0,0.0
1,4,Doris,LEMNGOLE,SO,21,Alabama,BAMA,9:10.13,,9:10.13,,Final,track,51,f,Women,3000 M Steeple,550.13,True,1.0,10.0
1,7,Lexy,HALLADAY-LOWRY,SR,175,BYU,BYU,9:18.05,,9:18.05,,Final,track,51,f,Women,3000 M Steeple,558.05,True,2.0,8.0
1,11,Angelina,NAPOLEON,SO,669,NC State,NCSU,9:27.85,,9:27.85,,Final,track,51,f,Women,3000 M Steeple,567.85,True,3.0,6.0
1,5,Leah,JERUTO,FR,762,Oklahoma,OU,9:34.71,,9:34.71,,Final,track,51,f,Women,3000 M Steeple,574.71,True,4.0,5.0
1,3,Debora,CHERONO,FR,1021,Texas A&M,TAMU,9:36.95,,9:36.95,,Final,track,51,f,Women,3000 M Steeple,576.95,True,5.0,4.0
1,8,Katelyn,STEWART-BARNETT,SR,589,Michigan State,MIST,9:36.96,,9:36.96,,Final,track,51,f,Women,3000 M Steeple,576.96,True,6.0,3.0
1,6,Sarah,TAIT,SR,1214,West Virginia,WVU,9:37.06,,9:37.06,,Final,track,51,f,Women,3000 M Steeple,577.06,True,7.0,2.0
1,12,Maggie,LIEBICH,SR,1204,Washington,WASH,9:37.40,,9:37.40,,Final,track,51,f,Women,3000 M Steeple,577.4,True,8.0,1.0
1,9,Karrie,BALOGA,SO,700,Northern Arizona,NAU,9:37.93,,9:37.93,,Final,track,51,f,Women,3000 M Steeple,577.93,True,9.0,0.0
1,1,Taylor,LOVELL,SO,180,BYU,BYU,9:37.97,,9:37.97,,Final,track,51,f,Women,3000 M Steeple,577.97,True,10.0,0.0
1,2,Shelby,JENSEN,SO,1138,Utah State,UTST,9:38.01,,9:38.01,,Final,track,51,f,Women,3000 M Steeple,578.01,True,11.0,0.0
1,10,Emily,PAUPORE,SR,207,Central Michigan,CMU,9:43.24,,9:43.24,,Final,track,51,f,Women,3000 M Steeple,583.24,True,12.0,0.0
1,6,Aaliyah,BUTLER,JR,334,Georgia,UGA,49.44,,49.44,,Final,track,54,f,Women,400 M,49.44,True,1.0,10.0
1,7,Dejanea,OAKLEY,JR,344,Georgia,UGA,50.18,,50.18,,Final,track,54,f,Women,400 M,50.18,True,2.0,8.0
1,3,Vimbayi,MAISVOREWA,SR,114,Auburn,AUB,50.25,,50.25,,Final,track,54,f,Women,400 M,50.25,True,3.0,6.0
1,5,Ella,ONOJUVWEVWO,JR,554,LSU,LSU,50.31,,50.31,,Final,track,54,f,Women,400 M,50.31,True,4.0,5.0
1,9,Kaylyn,BROWN,SO,65,Arkansas,ARK,50.35,,49.13,,Final,track,54,f,Women,400 M,50.35,True,5.0,4.0
1,2,Sami,OBLAD,SR,181,BYU,BYU,50.49,,50.49,,Final,track,54,f,Women,400 M,50.49,True,6.0,2.5
1,8,Rosey,EFFIONG,SR,68,Arkansas,ARK,50.49,,49.72,,Final,track,54,f,Women,400 M,50.49,True,6.0,2.5
1,4,Rachel,JOSEPH,JR,413,Iowa State,IAST,50.66,,50.66,,Final,track,54,f,Women,400 M,50.66,True,8.0,1.0
1,1,Kaelyaah,LIBURD,SO,283,Florida State,FSU,51.31,,51.31,,Final,track,54,f,Women,400 M,51.31,True,9.0,0.0
1,6,Savannah,SUTHERLAND,SR,598,Michigan,MICH,53.46,,53.26,,Final,track,56,f,Women,400 M Hurdles,53.46,True,1.0,10.0
1,7,Akala,GARRETT,SO,1001,Texas,TEX,53.73,,53.73,,Final,track,56,f,Women,400 M Hurdles,53.73,True,2.0,8.0
1,5,Michelle,SMITH,FR,349,Georgia,UGA,54.56,,54.56,,Final,track,56,f,Women,400 M Hurdles,54.56,True,3.0,6.0
1,8,Sanaa,HEBRON,SO,576,Miami (Fla.),MIAF,55.21,,55.21,,Final,track,56,f,Women,400 M Hurdles,55.21,True,4.0,5.0
1,1,Tyra,WILSON,SR,291,Florida State,FSU,55.39,,55.39,,Final,track,56,f,Women,400 M Hurdles,55.39,True,5.0,4.0
1,4,Allyria,MCBRIDE,JR,1170,Vanderbilt,VAND,55.65,,55.65,,Final,track,56,f,Women,400 M Hurdles,55.65,True,6.0,3.0
1,3,Chloe,FAIR,JR,372,Harvard,HARV,55.85,,55.85,,Final,track,56,f,Women,400 M Hurdles,55.85,True,7.0,2.0
1,9,Amelliah,BIRDOW,SO,945,TCU,TCU,55.96,,55.96,,Final,track,56,f,Women,400 M Hurdles,55.96,True,8.0,1.0
1,2,Braelyn,BAKER,FR,254,Duke,DUKE,56.35,,56.35,,Final,track,56,f,Women,400 M Hurdles,56.35,True,9.0,0.0
1,6,,USC,,,,USC,42.36,,,,Final,track,49,f,Women,4x100 M Relay,42.36,True,1.0,10.0
1,7,,SOUTH CAROLINA,,,,SCAR,42.58,,,,Final,track,49,f,Women,4x100 M Relay,42.58,True,2.0,8.0
1,5,,FLORIDA STATE,,,,FSU,42.72,,,,Final,track,49,f,Women,4x100 M Relay,42.72,True,3.0,6.0
1,3,,TEXAS,,,,TEX,42.85,,,,Final,track,49,f,Women,4x100 M Relay,42.85,True,4.0,4.5
1,9,,LSU,,,,LSU,42.85,,,,Final,track,49,f,Women,4x100 M Relay,42.85,True,4.0,4.5
1,4,,TCU,,,,TCU,42.87,,,,Final,track,49,f,Women,4x100 M Relay,42.87,True,6.0,3.0
1,8,,TEXAS A&M,,,,TAMU,42.92,,,,Final,track,49,f,Women,4x100 M Relay,42.92,True,7.0,2.0
1,2,,FLORIDA,,,,UF,43.06,,,,Final,track,49,f,Women,4x100 M Relay,43.06,True,8.0,1.0
1,1,,HOWARD,,,,HOW,43.08,,,,Final,track,49,f,Women,4x100 M Relay,43.08,True,9.0,0.0
1,6,,ARKANSAS,,,,ARK,3:23.69,,,,Final,track,59,f,Women,4x400 M Relay,203.69,True,1.0,10.0
1,5,,SOUTH CAROLINA,,,,SCAR,3:24.26,,,,Final,track,59,f,Women,4x400 M Relay,204.26,True,2.0,8.0
1,7,,GEORGIA,,,,UGA,3:24.85,,,,Final,track,59,f,Women,4x400 M Relay,204.85,True,3.0,6.0
1,3,,IOWA,,,,IOWA,3:26.90,,,,Final,track,59,f,Women,4x400 M Relay,206.9,True,4.0,5.0
1,8,,USC,,,,USC,3:27.31,,,,Final,track,59,f,Women,4x400 M Relay,207.31,True,5.0,4.0
1,9,,TEXAS A&M,,,,TAMU,3:27.67,,,,Final,track,59,f,Women,4x400 M Relay,207.67000000000002,True,6.0,3.0
1,4,,DUKE,,,,DUKE,3:27.77,,,,Final,track,59,f,Women,4x400 M Relay,207.77,True,7.0,2.0
1,1,,UCLA,,,,UCLA,3:28.18,,,,Final,track,59,f,Women,4x400 M Relay,208.18,True,8.0,1.0
1,2,,MIAMI (FLA.),,,,MIAF,3:28.61,,,,Final,track,59,f,Women,4x400 M Relay,208.61,True,9.0,0.0
1,17,Pamela,KOSGEI,FR,692,New Mexico,UNM,14:52.45,,14:52.45,,Final,track,58,f,Women,5000 M,892.45,True,1.0,10.0
1,21,Grace,HARTMAN,JR,667,NC State,NCSU,14:58.11,,14:58.11,,Final,track,58,f,Women,5000 M,898.11,True,2.0,8.0
1,16,Chloe,SCRIMGEOUR,SR,330,Georgetown,GTWN,15:05.40,,15:05.40,,Final,track,58,f,Women,5000 M,905.4,True,3.0,6.0
1,15,Sophia,KENNEDY,SO,928,Stanford,STAN,15:11.12,,15:11.12,,Final,track,58,f,Women,5000 M,911.12,True,4.0,5.0
1,2,Jenna,HUTCHINS,JR,179,BYU,BYU,15:16.95,,15:16.95,,Final,track,58,f,Women,5000 M,916.95,True,5.0,4.0
1,24,Marion,JEPNGETICH,FR,690,New Mexico,UNM,15:22.80,,15:22.80,,Final,track,58,f,Women,5000 M,922.8,True,6.0,3.0
1,11,Zofia,DUDEK,JR,924,Stanford,STAN,15:23.46,,15:23.46,,Final,track,58,f,Women,5000 M,923.46,True,7.0,2.0
1,20,Margot,APPLETON,SR,1176,Virginia,UVA,15:25.19,,15:18.21,,Final,track,58,f,Women,5000 M,925.19,True,8.0,1.0
1,9,Alex,MILLARD,JR,852,Providence,PROV,15:27.02,,15:27.02,,Final,track,58,f,Women,5000 M,927.02,True,9.0,0.0
1,18,Florence,CARON,JR,815,Penn State,PSU,15:27.05,,15:27.05,,Final,track,58,f,Women,5000 M,927.05,True,10.0,0.0
1,10,Vera,SJOBERG,JR,166,Boston U.,BOSU,15:27.51,,15:27.51,,Final,track,58,f,Women,5000 M,927.51,True,11.0,0.0
1,14,Silvia,JELELGO,SO,221,Clemson,CLEM,15:27.68,,15:27.68,,Final,track,58,f,Women,5000 M,927.68,True,12.0,0.0
1,22,Paityn,NOE,SO,72,Arkansas,ARK,15:28.04,,15:28.04,,Final,track,58,f,Women,5000 M,928.04,True,13.0,0.0
1,23,Samantha,BUSH,SR,666,NC State,NCSU,15:28.10,,15:28.10,,Final,track,58,f,Women,5000 M,928.1,True,14.0,0.0
1,4,Rachel,FORSYTH,FR,588,Michigan State,MIST,15:30.50,,15:30.50,,Final,track,58,f,Women,5000 M,930.5,True,15.0,0.0
1,1,Edna,CHELULEI,FR,274,Eastern Kentucky,EKU,15:30.56,,15:30.56,,Final,track,58,f,Women,5000 M,930.56,True,16.0,0.0
1,7,Isca,CHELANGAT,FR,747,Oklahoma State,OKST,15:31.35,,15:31.35,,Final,track,58,f,Women,5000 M,931.35,True,17.0,0.0
1,12,Ava,MITCHELL,SO,703,Northern Arizona,NAU,15:31.41,,15:31.41,,Final,track,58,f,Women,5000 M,931.41,True,18.0,0.0
1,13,Maelle,PORCHER,JR,415,Iowa State,IAST,15:32.59,,15:32.59,,Final,track,58,f,Women,5000 M,932.59,True,19.0,0.0
1,6,Brenda,JEPCHIRCHIR,FR,113,Auburn,AUB,15:33.50,,15:33.50,,Final,track,58,f,Women,5000 M,933.5,True,20.0,0.0
1,5,Sadie,SIGFSTEAD,JR,1173,Villanova,NOVA,15:33.68,,15:33.68,,Final,track,58,f,Women,5000 M,933.68,True,21.0,0.0
1,19,Amina,MAATOUG,SR,1205,Washington,WASH,15:37.55,,15:37.38,,Final,track,58,f,Women,5000 M,937.55,True,22.0,0.0
